project,route,linked_from,inbound_links,user_reachable
"imam-khomeini-airport-hajj-terminal","/fa/projects/imam-khomeini-airport-hajj-terminal","— (none rendered)","0","No (orphan)"
"imam-khomeini-airport-hajj-terminal","/en/projects/imam-khomeini-airport-hajj-terminal","— (none rendered)","0","No (orphan)"
"imam-khomeini-airport-hajj-terminal","/ar/projects/imam-khomeini-airport-hajj-terminal","— (none rendered)","0","No (orphan)"
"imam-khomeini-airport-hajj-terminal","/ru/projects/imam-khomeini-airport-hajj-terminal","— (none rendered)","0","No (orphan)"
"kermanshah-industrial-university-petroleum-faculty","/fa/projects/kermanshah-industrial-university-petroleum-faculty","— (none rendered)","0","No (orphan)"
"kermanshah-industrial-university-petroleum-faculty","/en/projects/kermanshah-industrial-university-petroleum-faculty","— (none rendered)","0","No (orphan)"
"kermanshah-industrial-university-petroleum-faculty","/ar/projects/kermanshah-industrial-university-petroleum-faculty","— (none rendered)","0","No (orphan)"
"kermanshah-industrial-university-petroleum-faculty","/ru/projects/kermanshah-industrial-university-petroleum-faculty","— (none rendered)","0","No (orphan)"
"maku-convention-hall","/fa/projects/maku-convention-hall","— (none rendered)","0","No (orphan)"
"maku-convention-hall","/en/projects/maku-convention-hall","— (none rendered)","0","No (orphan)"
"maku-convention-hall","/ar/projects/maku-convention-hall","— (none rendered)","0","No (orphan)"
"maku-convention-hall","/ru/projects/maku-convention-hall","— (none rendered)","0","No (orphan)"
"marun-petrochemical-visitor-terminal","/fa/projects/marun-petrochemical-visitor-terminal","— (none rendered)","0","No (orphan)"
"marun-petrochemical-visitor-terminal","/en/projects/marun-petrochemical-visitor-terminal","— (none rendered)","0","No (orphan)"
"marun-petrochemical-visitor-terminal","/ar/projects/marun-petrochemical-visitor-terminal","— (none rendered)","0","No (orphan)"
"marun-petrochemical-visitor-terminal","/ru/projects/marun-petrochemical-visitor-terminal","— (none rendered)","0","No (orphan)"
"mehrabad-aircraft-hangar","/fa/projects/mehrabad-aircraft-hangar","— (none rendered)","0","No (orphan)"
"mehrabad-aircraft-hangar","/en/projects/mehrabad-aircraft-hangar","— (none rendered)","0","No (orphan)"
"mehrabad-aircraft-hangar","/ar/projects/mehrabad-aircraft-hangar","— (none rendered)","0","No (orphan)"
"mehrabad-aircraft-hangar","/ru/projects/mehrabad-aircraft-hangar","— (none rendered)","0","No (orphan)"
"najafabad-university-amphitheater","/fa/projects/najafabad-university-amphitheater","— (none rendered)","0","No (orphan)"
"najafabad-university-amphitheater","/en/projects/najafabad-university-amphitheater","— (none rendered)","0","No (orphan)"
"najafabad-university-amphitheater","/ar/projects/najafabad-university-amphitheater","— (none rendered)","0","No (orphan)"
"najafabad-university-amphitheater","/ru/projects/najafabad-university-amphitheater","— (none rendered)","0","No (orphan)"
"payam-industrial-city-ceramic-factory","/fa/projects/payam-industrial-city-ceramic-factory","— (none rendered)","0","No (orphan)"
"payam-industrial-city-ceramic-factory","/en/projects/payam-industrial-city-ceramic-factory","— (none rendered)","0","No (orphan)"
"payam-industrial-city-ceramic-factory","/ar/projects/payam-industrial-city-ceramic-factory","— (none rendered)","0","No (orphan)"
"payam-industrial-city-ceramic-factory","/ru/projects/payam-industrial-city-ceramic-factory","— (none rendered)","0","No (orphan)"
"rouzbeh-charity-complex-zanjan","/fa/projects/rouzbeh-charity-complex-zanjan","— (none rendered)","0","No (orphan)"
"rouzbeh-charity-complex-zanjan","/en/projects/rouzbeh-charity-complex-zanjan","— (none rendered)","0","No (orphan)"
"rouzbeh-charity-complex-zanjan","/ar/projects/rouzbeh-charity-complex-zanjan","— (none rendered)","0","No (orphan)"
"rouzbeh-charity-complex-zanjan","/ru/projects/rouzbeh-charity-complex-zanjan","— (none rendered)","0","No (orphan)"
"shahrood-azad-university-skylight","/fa/projects/shahrood-azad-university-skylight","— (none rendered)","0","No (orphan)"
"shahrood-azad-university-skylight","/en/projects/shahrood-azad-university-skylight","— (none rendered)","0","No (orphan)"
"shahrood-azad-university-skylight","/ar/projects/shahrood-azad-university-skylight","— (none rendered)","0","No (orphan)"
"shahrood-azad-university-skylight","/ru/projects/shahrood-azad-university-skylight","— (none rendered)","0","No (orphan)"
"shalamcheh-border-gate","/fa/projects/shalamcheh-border-gate","— (none rendered)","0","No (orphan)"
"shalamcheh-border-gate","/en/projects/shalamcheh-border-gate","— (none rendered)","0","No (orphan)"
"shalamcheh-border-gate","/ar/projects/shalamcheh-border-gate","— (none rendered)","0","No (orphan)"
"shalamcheh-border-gate","/ru/projects/shalamcheh-border-gate","— (none rendered)","0","No (orphan)"
"tarbiat-modares-research-greenhouse","/fa/projects/tarbiat-modares-research-greenhouse","— (none rendered)","0","No (orphan)"
"tarbiat-modares-research-greenhouse","/en/projects/tarbiat-modares-research-greenhouse","— (none rendered)","0","No (orphan)"
"tarbiat-modares-research-greenhouse","/ar/projects/tarbiat-modares-research-greenhouse","— (none rendered)","0","No (orphan)"
"tarbiat-modares-research-greenhouse","/ru/projects/tarbiat-modares-research-greenhouse","— (none rendered)","0","No (orphan)"
"tavanir-shahrekord-central-atrium","/fa/projects/tavanir-shahrekord-central-atrium","— (none rendered)","0","No (orphan)"
"tavanir-shahrekord-central-atrium","/en/projects/tavanir-shahrekord-central-atrium","— (none rendered)","0","No (orphan)"
"tavanir-shahrekord-central-atrium","/ar/projects/tavanir-shahrekord-central-atrium","— (none rendered)","0","No (orphan)"
"tavanir-shahrekord-central-atrium","/ru/projects/tavanir-shahrekord-central-atrium","— (none rendered)","0","No (orphan)"
"tehran-mall-roof-garden-foodcourt","/fa/projects/tehran-mall-roof-garden-foodcourt","— (none rendered)","0","No (orphan)"
"tehran-mall-roof-garden-foodcourt","/en/projects/tehran-mall-roof-garden-foodcourt","— (none rendered)","0","No (orphan)"
"tehran-mall-roof-garden-foodcourt","/ar/projects/tehran-mall-roof-garden-foodcourt","— (none rendered)","0","No (orphan)"
"tehran-mall-roof-garden-foodcourt","/ru/projects/tehran-mall-roof-garden-foodcourt","— (none rendered)","0","No (orphan)"
"toranj-kish-restaurant","/fa/projects/toranj-kish-restaurant","— (none rendered)","0","No (orphan)"
"toranj-kish-restaurant","/en/projects/toranj-kish-restaurant","— (none rendered)","0","No (orphan)"
"toranj-kish-restaurant","/ar/projects/toranj-kish-restaurant","— (none rendered)","0","No (orphan)"
"toranj-kish-restaurant","/ru/projects/toranj-kish-restaurant","— (none rendered)","0","No (orphan)"
